;tr0
b5;19.02.2016 5:22
b4;19.02.2016 6:26
b3;19.02.2016 7:19
b2;19.02.2016 7:56
b1;19.02.2016 8:17
b0;19.02.2016 9:11
a10;19.02.2016 10:09
a11;19.02.2016 10:36
a12;19.02.2016 11:13
a13;19.02.2016 11:56
a14;19.02.2016 12:17
a15;19.02.2016 13:00
a16;19.02.2016 13:16
a17;19.02.2016 13:48
a18;19.02.2016 14:36
a19;19.02.2016 15:03
a20;19.02.2016 15:50
a21;19.02.2016 16:49
a22;19.02.2016 17:21
a23;19.02.2016 17:37
a24;19.02.2016 18:20
a25;19.02.2016 18:46
a26;19.02.2016 19:24
a27;19.02.2016 19:45
a28;19.02.2016 20:01
a29;19.02.2016 20:44
a30;19.02.2016 21:42
a31;19.02.2016 22:30
